,0
0,317300995
1,319273965
2,313250109
3,318305026
4,318170803
5,288845971
6,258159865
7,317483810
8,313370501
9,309212423
10,134925661
11,31642609
12,318857705
13,311924045
14,316427065
15,307077764
16,287238196
17,303136144
18,318688190
19,153434095
20,257345260
21,309366101
22,318171677
23,295659562
24,317378173
25,317300995
26,319273965
27,313250109
28,318305026
29,318170803
30,288845971
31,258159865
32,317483810
33,313370501
34,309212423
35,134925661
36,31642609
37,318857705
38,311924045
39,316427065
40,307077764
41,287238196
42,303136144
43,318688190
44,153434095
45,257345260
46,309366101
47,318171677
48,295659562
49,317378173
50,315381525
51,318158545
52,317535078
53,318177775
54,294557348
55,316303119
56,315408319
57,317996145
58,410811
59,319098756
60,314901957
61,315039004
62,315224964
63,315797070
64,316355832
65,66880788
66,309665268
67,315311383
68,292985943
69,296379470
70,303558802
71,310359862
72,240752952
73,316316858
74,318850223
75,310602521
76,315767092
77,209134571
78,284279755
79,270011322
80,317482066
81,276636094
82,169019534
83,315560338
84,301697896
85,140135544
86,314021410
87,282123000
88,318781132
89,312884105
90,17788668
91,300273437
92,187333547
93,269133591
94,236162597
95,308184974
96,317290861
97,316121416
98,317252868
99,129265464
100,315739600
101,284467538
102,249222069
103,315012869
104,309581701
105,318152708
106,318001709
107,318148982
108,303759390
109,273126384
110,313565931
111,178611462
112,289672648
113,277942298
114,310629318
115,310837949
116,296614068
117,221329704
118,317999971
119,316436695
120,319305670
121,319414606
122,312664365
123,315163557
124,269803389
125,318457203
126,319241402
127,277943871
128,309337377
129,314774402
130,317869991
131,316436658
132,319558515
133,106073502
134,298205437
135,302192593
136,272393038
137,313148104
138,269506210
139,315173117
140,260357011
141,317504595
142,317549314
143,311661458
144,282944418
145,2283075
146,307207173
147,260927100
148,313670862
149,316060877
150,306834133
151,580855
152,315372789
153,317016774
154,316070399
155,318690493
156,319622450
157,234809434
158,75490924
159,309867654
160,271480837
161,236350317
162,126262215
163,298426824
164,317066180
165,31595160
166,317886374
167,27090787
168,274504870
169,143171333
170,310109955
171,315985606
172,293792720
173,316565911
174,317705962
175,318302270
176,318917095
177,317546358
178,318716038
179,319553153
180,313332009
181,147945799
182,307822432
183,307280375
184,305632048
185,313625658
186,278822377
187,56080013
188,317474282
189,317404733
190,318917298
191,231099
192,311054582
193,66541408
194,292580300
195,287110908
196,564228
197,309273964
198,2444755
199,314262724
200,315546047
201,315555591
202,232257897
203,314589257
204,316790450
205,313370497
206,280602221
207,93218303
208,305953299
209,280895774
210,307987140
211,119957006
212,260379814
213,314381088
214,206431944
215,283802382
216,308726522
217,258127487
218,297112842
219,85541243
220,319252033
221,319240749
222,319407154
223,301692224
224,286149427
225,19905832
226,155665984
227,286792511
228,84543973
229,314490183
230,313532946
231,316443534
232,310558086
233,317024594
234,309060316
235,317515811
