,0
0,309295168
1,317300995
2,313250109
3,316298098
4,319090371
5,318849351
6,319109216
7,120812491
8,317702230
9,247064966
10,316579561
11,1020939
12,309951192
13,314952342
14,297142104
15,312730732
16,209457983
17,310646900
18,315155324
19,288198356
20,40302462
21,171708242
22,317299739
23,314381994
24,316295472
25,309295168
26,317300995
27,313250109
28,316298098
29,319090371
30,318849351
31,319109216
32,120812491
33,317702230
34,247064966
35,316579561
36,1020939
37,309951192
38,314952342
39,297142104
40,312730732
41,209457983
42,310646900
43,315155324
44,288198356
45,40302462
46,171708242
47,317299739
48,314381994
49,316295472
50,314174778
51,306575678
52,81946307
53,291687634
54,315207577
55,318777532
56,259692098
57,187544571
58,256477614
59,289659672
60,3148014
61,282587324
62,317001360
63,319251301
64,316987844
65,260572840
66,11478227
67,259012560
68,3478947
69,314901957
70,319106837
71,315597176
72,313123892
73,3736330
74,317378665
75,182285146
76,319538756
77,310359862
78,290964805
79,318629618
80,311329023
81,187819146
82,316316858
83,296431592
84,268611799
85,317255510
86,317482066
87,169330497
88,318159109
89,169019534
90,316887444
91,308188901
92,301697896
93,311865401
94,303679861
95,275466211
96,252688892
97,318773263
98,927185
99,300273437
100,236162597
101,317252868
102,313593694
103,314775871
104,315742085
105,290375476
106,260049790
107,100102780
108,315291521
109,316888038
110,303075175
111,318644864
112,309670820
113,314972295
114,318152708
115,303759390
116,301543912
117,221355447
118,273126384
119,31411514
120,304615678
121,277942298
122,306644424
123,306801361
124,16560409
125,306644166
126,309922543
127,263043848
128,267631778
129,312222128
130,289803563
131,215334054
132,277943871
133,314033903
134,140740434
135,315186750
136,312666422
137,98170760
138,305875844
139,317516571
140,282733777
141,63623002
142,313148104
143,316501993
144,318299633
145,317549314
146,318930068
147,319150884
148,282944418
149,302274640
150,174032012
151,259013179
152,316794191
153,313743945
154,268036142
155,271628581
156,2247561
157,317212668
158,315372789
159,147102266
160,309867654
161,503603
162,315292625
163,265423668
164,318364757
165,315013484
166,317256312
167,27090787
168,285421804
169,300704053
170,299442312
171,143171333
172,314636155
173,313732784
174,874101
175,29417448
176,86115862
177,313625658
178,56080013
179,264002177
180,66541408
181,287110908
182,189360531
183,268205926
184,276132543
185,12979051
186,314589257
187,29241585
188,303293004
189,246058716
190,206431944
191,312947677
192,315171601
193,297112842
194,315048228
195,316805420
196,85541243
197,318792714
198,318448179
199,257266475
200,299410096
201,298574706
202,307206436
203,306651382
204,312406194
205,316443534
206,258108880
207,44837648
208,319092232
209,319240508
210,317841402
211,245666898
212,268174892
213,77477324
214,199736169
215,307061651
216,306989057
217,296881071
218,231789504
219,308906317
220,269368534
221,304800141
222,316091075
223,314024631
224,286406640
225,317702812
226,318329149
227,318643618
228,306952734
229,283478442
230,117827715
231,285279480
232,206464464
233,311050632
234,293275241
235,35121146
236,299115749
237,174029417
238,316115961
239,317250856
240,30665144
241,305371780
242,315412116
243,90520955
244,316594906
245,318341420
246,319642995
247,319380517
248,319167552
249,304432750
250,310166255
251,11388356
252,2502422
253,306810292
254,535908
255,18997770
256,303673851
257,304100078
258,260562624
259,304683500
260,6572307
261,263989132
262,312401370
263,308834876
264,296815566
265,255163087
266,313741793
267,163680753
268,279815126
269,314998304
270,6585623
271,314064046
272,314437358
273,316354391
274,313956941
275,316425171
276,313982165
277,296143441
278,318363148
279,108267955
280,297455533
281,303313531
282,304269315
283,32219896
284,3352761
285,296178169
286,33850809
287,278622186
288,249905709
289,311324860
290,310883870
291,297166514
292,106724468
293,14028269
294,189954726
295,294988468
296,229050582
297,313959178
298,33639648
299,307494828
300,266024810
301,309230612
302,315616196
303,319250990
304,316733978
305,2335022
306,314246292
307,115420730
308,88344540
309,317708574
310,315035249
311,319602099
312,319599909
313,318363584
314,182505685
315,220642182
316,246389463
317,207830838
318,121719823
319,309556359
320,268213890
321,246896046
322,308821229
323,301514839
324,3288556
325,292887029
326,38681126
327,233464836
328,313529626
329,314114501
330,300285534
331,249370207
332,266831407
333,308887966
334,254560711
335,318342366
336,276131191
337,315554061
338,290925207
339,315548552
340,305222647
341,317226683
342,317379148
343,308602924
344,318302590
345,317097554
346,317292298
347,317046965
348,319090060
349,318773325
350,318321511
351,105959764
352,319579320
353,319310044
354,108697918
355,78029913
356,299392112
357,312161010
358,75417691
359,65559959
360,296038909
361,222104487
362,17464288
363,106036763
364,266456607
365,257841112
366,267255119
367,202323946
368,290430054
369,289593050
370,290210612
371,186795241
372,303442113
373,146463465
374,258518963
375,274510718
376,199732285
377,275405513
378,267369944
379,285128673
380,260233162
381,217795781
382,13716467
383,274036873
384,6667552
385,286678398
386,302206175
387,269403341
388,295220215
389,303427177
390,300290650
391,309123069
392,145518453
393,312883557
394,21917685
395,307265890
396,314794654
397,315575187
398,263276772
399,314401254
400,315013771
401,315773003
402,317516158
403,318927513
404,317732259
405,318369843
406,317487694
407,317092477
408,318474287
409,317704862
410,318920041
411,319155863
412,318917894
413,287380423
414,286674266
415,174275034
416,285483965
417,267585
418,306656357
419,26269133
420,272212497
421,281214524
422,291470807
423,291696919
424,61341681
425,81090847
426,21117059
427,294589154
428,294054263
429,297622447
430,304936994
431,268053219
432,289101123
433,289273600
434,304755987
435,131938867
436,196575839
437,291307639
438,228755375
439,218901683
440,309275830
441,295364980
442,17080412
443,296201516
444,313707861
445,4063772
446,47109665
447,308281491
448,13491973
449,113878339
450,296208637
451,206515744
452,271845416
453,23062998
454,264028980
455,310882382
456,90057396
457,286633516
458,314657979
459,191539028
460,265381167
461,189504024
462,147989094
463,311506768
464,294376054
465,311799991
466,312178953
467,314956557
468,313587054
469,318628081
470,319109716
471,271824388
472,292998073
473,316064165
474,314022072
475,302554837
476,317460048
477,316080150
478,274125268
479,300042769
480,241515777
481,315206367
482,316762057
483,319093849
484,314578126
485,316038259
486,319625747
487,317222976
488,304747066
489,319605762
490,319599162
491,319148989
492,319096592
493,2262172
494,212657645
495,288844118
496,537856
497,3729497
498,304938637
499,274103723
500,306333657
501,296808689
502,283528303
503,112315438
504,939803
505,876935
506,205650070
507,8873486
508,176265863
509,252621966
510,306954934
511,308447781
512,256852769
513,3563837
514,98643634
515,272169394
516,295635664
517,236781591
518,186806291
519,176801568
520,131672639
521,258620520
522,313150852
523,309068544
524,283311959
525,128539264
526,265461920
527,290890463
528,75375833
529,306776854
530,231330516
531,147894467
532,305347896
533,265585723
534,298726053
535,29085022
536,271279912
537,238283416
538,196549668
539,309177178
540,272273473
541,298758109
542,34601489
543,307850278
544,296112498
545,237992484
546,231789505
547,306832268
548,231492005
549,310490346
550,285684791
551,312903001
552,292284453
553,67190892
554,291941987
555,33877448
556,309632328
557,126277979
558,310158701
559,311824428
560,263971774
561,269126742
562,187811055
563,266599698
564,54819587
565,267629858
566,222713514
567,305558170
568,283694441
569,8696517
570,181168019
571,229487605
572,294558465
573,295361151
574,316493770
575,316468107
576,33328903
577,254262748
578,316502978
579,314540127
580,299520992
581,269841228
582,314955532
583,316755413
584,308418019
585,3478521
586,255863546
587,239945040
588,2962738
589,246944769
590,33164817
591,305925894
592,266831357
593,312859666
594,304082885
595,310431835
596,317535623
597,318804159
598,311126114
599,316118876
600,317249400
601,317284865
602,319150175
603,319553912
604,318298487
605,76007302
606,319374226
607,294993774
608,285422452
609,94146727
610,304348890
611,3353784
612,302167439
613,290685927
614,255002395
615,293963247
616,268402319
617,301411735
618,310624119
619,300905900
620,134943062
621,19490421
622,235083807
623,289180395
624,292459876
