,urls
0,https://image.aladin.co.kr/product/16901/95/cover200/k022534274_1.jpg
1,https://image.aladin.co.kr/product/5608/0/cover200/6000835790_3.jpg
2,https://image.aladin.co.kr/product/26056/26/cover200/k812737051_1.jpg
3,https://image.aladin.co.kr/product/19389/8/cover200/8935212822_1.jpg
4,https://image.aladin.co.kr/product/31938/5/cover200/8901273039_1.jpg
5,https://image.aladin.co.kr/product/26/75/cover200/8973400533_2.jpg
6,https://image.aladin.co.kr/product/28512/86/cover200/896054289x_1.jpg
7,https://image.aladin.co.kr/product/31839/61/cover200/8960543179_1.jpg
8,https://image.aladin.co.kr/product/30927/58/cover200/k002831398_1.jpg
9,https://image.aladin.co.kr/product/29562/51/cover200/k602837253_1.jpg
10,https://image.aladin.co.kr/product/31722/66/cover200/8937417154_1.jpg
11,https://image.aladin.co.kr/product/31753/56/cover200/8937427842_1.jpg
12,https://image.aladin.co.kr/product/328/85/cover200/8901092948_3.jpg
13,https://image.aladin.co.kr/product/31088/23/cover200/k082831839_1.jpg
14,https://image.aladin.co.kr/product/3915/96/cover200/899230997x_1.jpg
15,https://image.aladin.co.kr/product/31501/37/cover200/k342832434_3.jpg
16,https://image.aladin.co.kr/product/31733/79/cover200/k012833095_1.jpg
17,https://image.aladin.co.kr/product/31868/12/cover200/k632833529_1.jpg
18,https://image.aladin.co.kr/product/1349/19/cover200/8935208957_2.jpg
19,https://image.aladin.co.kr/product/31675/54/cover200/k342833677_1.jpg
20,https://image.aladin.co.kr/product/7810/19/cover200/8967260164_2.jpg
21,https://image.aladin.co.kr/product/31770/48/cover200/k562833108_1.jpg
22,https://image.aladin.co.kr/product/10595/97/cover200/8998581302_1.jpg
23,https://image.aladin.co.kr/product/19532/81/cover200/k072635021_1.jpg
24,https://image.aladin.co.kr/product/87/69/cover200/8901063034_1.jpg
